Status,Designator,Qty,Function,Value,Manufacturer,MPN,Footprint,LCSC Part #,Assembly,Population,Notes
EXACT_CANDIDATE,U1,1,MCU module,ESP32-S3-WROOM-1-N16R8,Espressif,ESP32-S3-WROOM-1-N16R8,ChainAxe:ESP32-S3-WROOM-1_v1.8,C2913202,SMT extended,POPULATE,"Project-local footprint follows Espressif v1.8 land pattern with 3.7 mm center pad/vias and antenna keepout; verify metal-chassis strategy"
PROVISIONAL,U2,1,Four-channel fan controller,EMC2305,Microchip,EMC2305-1-AP-TR,ChainAxe:EMC2305_QFN16_4x4_P0.65_EP2.2,C621415,SMT extended,POPULATE,"AP-specific 2.2 mm exposed land with paste windowing and thermal vias; use channels 1-4; fifth channel NC"
PROVISIONAL,U3,1,3.3 V synchronous buck,AP64501,Diodes Incorporated,AP64501SP-13,ChainAxe:AP64501_SO8EP,C2071517,SMT extended,POPULATE,"Project-local Diodes land/paste/thermal-via pattern; DS41980 Table 1 starting cell is implemented; validate loop stability, transients, and thermal margin"
PROVISIONAL,L1,1,Buck inductor,3.3 uH,Bourns,SRP5030T-3R3M,Inductor_SMD:L_Bourns-SRP5030TA_5.7x5.2mm,C189931,SMT extended,POPULATE,"Recalculate saturation and RMS current for the final 3.3 V design"
PROVISIONAL,U5,1,Switched hashboard logic supply,3.3 V 2 A load switch,Texas Instruments,TPS22917DBVR,Package_TO_SOT_SMD:SOT-23-6,C2681320,SMT extended,POPULATE,"Controller sources J10 pin 16; R50 holds the switch off at reset"
PROVISIONAL,U6,1,Gated hashboard UART/PLUG interface,SN74AXC4T774,Texas Instruments,SN74AXC4T774PWR,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,C1849453,SMT extended,POPULATE,"Both domains are 3.3 V; directions and OE mapping are frozen in the schematic"
EXACT_CANDIDATE,U7,1,Powered-off-protected hashboard I2C switch,TMUX1511,Texas Instruments,TMUX1511PWR,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C2866750,SMT extended,POPULATE,"VDD from switched HB_3V3; channels 1/2 carry SCL/SDA; R84 disables both used channels by default"
EXACT_CANDIDATE,U8,1,Four-channel active-high tri-state fan buffer,SN74LVC126A,Texas Instruments,SN74LVC126APWR,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C7815,SMT extended,POPULATE,"R105 leaves all 2N7002 sinks off; verify float-PWM full-speed behavior with the exact fan"
EXACT_CANDIDATE,U12,1,Independent gated hashboard reset buffer,SN74LVC1G125,Texas Instruments,SN74LVC1G125DBVR,Package_TO_SOT_SMD:SOT-23-5,C23654,SMT extended,POPULATE,"R89 is the mandatory 10k active-low OE pullup; default S21 assembly leaves R90 open/DNP"
EXACT_CANDIDATE,"Q1,Q2,Q3,Q4",4,Fan open-drain PWM sinks,2N7002,Nexperia or approved,2N7002,Package_TO_SOT_SMD:SOT-23,C8545,SMT basic,POPULATE,"R200/R203/R206/R209 are gate pulldowns; drain connects to each fan PWM line"
PROVISIONAL,"Q5,Q6",2,Parallel high-side fan-input reverse-polarity FETs,-30 V P-channel,Diodes Incorporated,DMP3013SFV-7,ChainAxe:PowerDI3333-8_DMP3013SFV,C264098,SMT extended,SELECT_BEFORE_RELEASE,"Use exact Diodes Type-UX mapping; validate paste, SOA, current sharing, Rds(on), copper, and simultaneous fan startup/stall thermals"
EXACT_CANDIDATE,ZD1,1,Fan-input MOSFET gate clamp,12 V Zener,onsemi,BZX84C12LT1G,Package_TO_SOT_SMD:SOT-23,C82475,SMT extended,SELECT_BEFORE_RELEASE,"Pin 1 anode to gate; pin 2 NC; pin 3 cathode to protected FAN_12V; validate dissipation and transients"
EXACT_CANDIDATE,U9,1,USB low-capacitance ESD,USBLC6-2SC6,STMicroelectronics,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,C7519,SMT extended,POPULATE,"Place immediately behind the USB receptacle"
EXACT_CANDIDATE,"U10,U11,U13",3,Cable-side 3.3 V ESD array,TPD4E05U06,Texas Instruments,TPD4E05U06DQAR,ChainAxe:TI_DQA0010A_USON10_2.5x1.0_P0.5,C138714,SMT extended,POPULATE,"TI DQA0010A map and land: shunts 1/2/4/5; enlarged GND 3/8; NC 6/7/9/10; verify pin 1 at J10"
PROVISIONAL,"D1,D2,D3",3,Logic-source OR Schottky,1 A 40 V,Multiple,SS14,Diode_SMD:D_SMA,TBD,SMT,POPULATE,"D1 gives J6 reverse blocking; D2 is JP1-qualified FAN_12V; D3 is USB_VBUS; select exact MPN/LCSC and verify AP64501 headroom"
PROVISIONAL,D4,1,Protected fan-bus TVS,13 V standoff starting point,Multiple,SMBJ13A,Diode_SMD:D_SMB,TBD,SMT,SELECT_BEFORE_RELEASE,"Coordinate standoff and clamp energy with the exact 12 V fans and upstream fuse; J1 is not a 15 V fan input"
PROVISIONAL,D5,1,Logic-input bidirectional TVS,18 V standoff starting point,Multiple,SMBJ18CA,Diode_SMD:D_SMB,TBD,SMT,SELECT_BEFORE_RELEASE,"Bidirectional part at J6; verify pulse energy and clamping before release"
PROVISIONAL,J30,1,USB-C USB2 receptacle,USB4105-GF-A,Global Connector Technology,USB4105-GF-A,ChainAxe:USB4105-GF-A,C2988369,SMT extended,STOP_ORDER,"STOP-ORDER until first-article fit check: project-local footprint vendors the official KiCad 8.0.9/GCT geometry with all contacts, THT shell stakes, and NPTH locating pegs"
PROVISIONAL,J10,1,Bitmain hashboard data connector,2x9 2.00 mm right-angle,HCTL,PM200-2-09-W-4.3,ChainAxe:PM200-2-09-W-4.3_THT,C3012192,THT/manual,HAND_INSTALL,"18 physical positions; pins 1-16 used and 17-18 NC; project-local drawing-derived footprint still needs mating-face orientation and real-cable fit checks"
EXACT_CANDIDATE,J1,1,High-current fan supply input,2x3 keyed THT,Molex,0455580003,ChainAxe:0455580003_THT,C492365,THT/manual,HAND_INSTALL,"Regulated 12 V only; project-local footprint follows Molex SD-45558-001 contact and peg geometry; verify circuit-1 orientation and fit a real connector"
TBD,J6,1,Low-current controller supply input,2-pin keyed 18-24 AWG,TBD,TBD,Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,TBD,THT/manual,STOP_ORDER,"STOP-ORDER: accepts 12-15 V for logic only; current Micro-Fit footprint is a placeholder until an exact keyed connector and mate are selected"
